time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
0,505.0,414.5,36.66
1,505.0,425.75,36.8
2,505.0,455.0,37.47
3,505.0,533.75,36.66
4,490.00000000000006,547.0,35.45
5,490.00000000000006,542.0,35.33
6,490.00000000000006,601.0,33.96
7,490.00000000000006,594.2,33.65
8,490.00000000000006,530.0,34.06
9,490.00000000000006,479.0,35.01
10,490.00000000000006,456.5,35.19
11,498.00000000000006,410.4,37.21
12,500.0,434.25,41.69
13,500.0,495.8,41.99
14,500.0,599.5,41.99
15,500.0,696.0,40.82
16,484.99999999999994,662.0,38.89
17,484.99999999999994,615.25,37.61
18,484.99999999999994,572.5,36.95
19,484.99999999999994,486.0,36.11
20,484.99999999999994,446.75,36.01
21,484.99999999999994,424.8,36.02
22,484.99999999999994,402.25,35.2
23,480.99999999999994,427.0,34.85
24,470.0,439.0,39.57
25,470.0,434.6,37.65
26,458.0,420.25,34.04
27,445.0,397.0,31.15
28,445.0,345.75,29.64
29,445.0,316.75,27.54
30,445.0,292.2,25.64
31,445.0,248.25,25.8
32,445.0,237.75,27.98
33,445.0,236.0,28.98
34,445.0,256.75,31.7
35,459.99999999999994,271.5,31.81
36,459.99999999999994,285.6,32.55
37,459.99999999999994,297.5,34.3
38,440.00000000000006,298.5,33.6
39,440.00000000000006,275.2,33.12
40,440.00000000000006,266.0,33.07
41,442.0,283.8,32.41
42,450.0,297.0,31.0
43,450.0,292.75,32.59
44,450.0,308.8,33.9
45,450.0,335.0,34.49
46,465.00000000000006,327.0,34.25
47,465.00000000000006,284.0,33.06
48,470.0,283.5,33.45
49,484.99999999999994,298.0,39.62
50,487.0,295.8,42.11
51,495.0,289.5,43.1
52,495.0,325.5,44.84
53,495.0,348.0,42.14
54,495.0,346.0,42.33
55,495.0,339.75,40.59
56,515.0,350.0,41.59
57,515.0,353.0,42.82
58,515.0,355.25,45.62
59,515.0,392.2,45.62
60,505.0,411.0,46.55
61,505.0,410.5,49.05
62,505.0,419.2,47.3
63,505.0,420.5,46.65
64,495.0,419.0,45.15
65,495.0,418.0,42.7
66,495.0,408.5,40.4
67,495.0,402.4,39.85
68,475.0,384.75,37.35
69,475.0,336.0,34.85
70,475.0,330.0,37.65
71,475.0,330.8,38.35
72,475.0,344.5,38.66
73,475.0,334.5,39.31
74,475.0,322.4,37.06
75,470.0,318.5,36.43
76,459.99999999999994,282.4,36.44
77,459.99999999999994,270.0,33.96
78,459.99999999999994,259.5,31.64
79,465.00000000000006,241.8,32.32
80,470.0,267.0,33.31
81,470.0,301.5,33.8
82,470.0,328.0,37.57
83,459.99999999999994,347.5,38.31
84,459.99999999999994,348.0,38.44
85,459.99999999999994,364.5,40.78
86,459.99999999999994,396.0,40.5
87,459.99999999999994,402.0,39.75
88,450.0,401.5,40.84
89,450.0,419.5,39.09
90,450.0,418.0,36.7
91,445.0,396.5,36.6
92,440.00000000000006,404.5,34.52
93,425.0,414.0,34.53
94,420.0,394.0,36.57
95,420.0,369.5,36.56
96,409.99999999999994,360.0,37.6
97,405.0,368.0,40.32
98,400.0,377.0,39.33
99,395.0,377.0,38.51
100,380.0,376.0,38.53
101,380.0,378.0,34.88
102,375.0,373.5,33.05
103,370.0,361.5,30.27
104,370.0,307.0,28.04
105,370.0,284.5,26.82
106,370.0,289.0,29.6
107,370.0,305.0,31.05
108,370.0,333.5,33.74
109,370.0,338.0,33.4
110,370.0,309.5,30.09
111,370.0,251.0,28.02
112,370.0,234.5,26.99
113,370.0,228.0,23.18
114,370.0,222.0,21.58
115,390.0,218.5,22.62
116,390.0,217.0,22.61
117,390.0,214.0,22.62
118,395.0,210.5,27.36
119,405.0,206.5,28.67
120,415.00000000000006,211.0,33.07
121,430.0,214.0,36.37
122,434.99999999999994,229.0,37.38
123,440.00000000000006,255.0,37.92
124,445.0,280.0,38.55
125,445.0,288.0,33.46
126,450.0,275.0,33.01
127,465.00000000000006,265.0,34.79
128,465.00000000000006,272.5,35.78
129,465.00000000000006,284.5,36.99
130,465.00000000000006,290.0,39.58
131,465.00000000000006,284.0,39.79
132,490.00000000000006,327.0,43.79
133,465.00000000000006,399.0,46.53
134,465.00000000000006,433.0,45.51
135,445.0,436.5,42.54
136,395.0,420.0,38.55
137,395.0,374.0,31.09
138,395.0,312.0,28.59
139,390.0,289.5,27.58
140,385.0,276.5,27.58
141,385.0,264.0,27.22
142,385.0,256.5,28.88
143,385.0,256.0,28.6
144,400.0,256.0,29.31
145,405.0,255.5,32.07
146,405.0,251.0,32.07
147,400.0,248.0,32.18
148,395.0,248.0,32.18
149,395.0,248.0,27.22
150,395.0,249.0,27.01
151,395.0,252.0,27.08
152,375.0,256.0,27.08
153,375.0,256.0,27.44
154,375.0,256.5,29.11
155,375.0,260.0,29.11
156,390.0,262.5,31.02
157,395.0,266.0,32.97
158,395.0,271.0,32.97
159,385.0,272.0,32.97
160,380.0,276.5,32.98
161,375.0,284.5,28.1
162,385.0,285.0,27.87
163,385.0,285.0,27.87
164,380.0,285.0,27.87
165,375.0,285.0,27.84
166,375.0,288.5,29.32
167,375.0,293.0,29.78
168,375.0,295.5,31.76
169,375.0,300.5,33.95
170,375.0,302.0,33.65
171,370.0,302.0,33.36
172,360.0,302.0,33.22
173,360.0,302.0,28.24
174,370.0,302.0,27.77
175,370.0,300.5,27.77
176,370.0,300.0,27.77
177,370.0,300.0,28.19
178,380.0,300.0,29.41
179,385.0,301.5,30.43
180,400.0,304.5,32.85
181,400.0,308.0,35.13
182,400.0,311.0,34.79
183,395.0,311.0,34.53
184,395.0,310.0,34.53
185,405.0,306.5,29.54
186,405.0,302.5,29.09
187,405.0,301.0,29.09
188,405.0,300.0,28.76
189,405.0,300.0,28.76
190,420.0,302.0,29.98
191,425.0,304.0,30.55
192,434.99999999999994,304.0,33.52
193,434.99999999999994,306.5,35.83
194,420.0,308.0,35.49
195,415.00000000000006,305.5,35.12
196,409.99999999999994,303.0,35.02
197,409.99999999999994,298.5,30.34
198,409.99999999999994,298.5,30.27
199,409.99999999999994,298.5,30.25
200,409.99999999999994,299.0,30.42
201,415.00000000000006,299.5,31.04
202,420.0,299.5,32.99
203,420.0,298.0,33.49
204,450.0,298.5,36.78
205,440.00000000000006,298.5,38.85
206,434.99999999999994,305.5,38.84
207,425.0,323.0,38.15
208,415.00000000000006,334.0,37.98
209,405.0,336.0,32.26
210,395.0,333.5,32.44
211,395.0,321.5,31.22
212,400.0,313.0,31.06
213,400.0,308.5,30.84
214,405.0,307.0,32.1
215,400.0,314.5,32.98
216,409.99999999999994,328.0,33.78
217,409.99999999999994,334.0,35.72
218,409.99999999999994,336.0,35.72
219,395.0,335.0,35.72
220,375.0,328.0,35.73
221,370.0,323.5,30.28
222,385.0,314.5,29.72
223,395.0,306.5,29.61
224,390.0,301.0,29.69
225,405.0,298.5,29.61
226,409.99999999999994,297.5,30.47
227,409.99999999999994,301.5,31.55
