time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
0,4.1,3.015,3.1550000000000002
1,4.1,2.975,3.0469999999999997
2,4.05,2.985,2.961
3,3.9,3.01,2.9690000000000003
4,3.95,3.065,2.961
5,3.85,3.145,2.972
6,3.7,3.235,3.028
7,3.75,3.28,3.5729999999999995
8,3.95,3.35,3.572
9,4.1,3.36,3.572
10,4.1,3.34,3.572
11,4.1,3.28,3.378
12,4.0,3.145,3.2979999999999996
13,4.05,3.07,3.21
14,4.0,3.085,3.084
15,4.0,3.13,3.106
16,3.95,3.215,3.122
17,3.95,3.335,3.2439999999999998
18,4.05,3.36,3.226
19,4.15,3.34,3.7979999999999996
20,4.25,3.23,3.815
21,4.35,3.055,3.8840000000000003
22,4.4,2.985,3.8850000000000002
23,4.5,2.985,3.678
24,4.2,2.98,3.349
25,4.2,2.995,3.2990000000000004
26,4.15,2.995,3.104
27,4.1,2.99,3.0420000000000003
28,4.1,2.985,3.025
29,4.1,2.985,3.027
30,4.1,2.985,3.034
31,4.1,3.03,3.5020000000000002
32,4.15,3.055,3.5119999999999996
33,4.2,3.08,3.5490000000000004
34,4.35,3.065,3.5829999999999997
35,4.35,3.04,3.3520000000000003
36,4.25,3.04,3.055
37,4.2,3.02,2.998
38,4.05,3.0,2.8760000000000003
39,4.05,3.0,2.8760000000000003
40,4.05,3.01,2.909
41,4.05,3.025,2.909
42,4.05,3.065,2.9539999999999997
43,3.95,3.1,3.4530000000000003
44,3.95,3.11,3.4530000000000003
45,4.0,3.11,3.479
46,4.0,3.08,3.5130000000000003
47,4.0,3.045,3.285
48,3.85,3.015,3.043
49,3.8,3.0,2.941
50,3.7,3.0,2.819
51,3.7,3.0,2.777
52,3.7,3.005,2.777
53,3.7,3.02,2.777
54,3.6,3.02,2.824
55,3.6,3.02,3.322
56,3.7,3.02,3.336
57,3.75,3.02,3.3649999999999998
58,3.75,3.005,3.3950000000000005
59,3.75,2.955,3.176
60,3.75,2.93,2.978
61,3.75,2.885,2.932
62,3.75,2.85,2.784
63,3.8,2.85,2.787
64,3.85,2.85,2.787
65,3.85,2.85,2.787
