time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
0,5.05,4.145,3.6659999999999995
1,5.05,4.2575,3.6799999999999997
2,5.05,4.55,3.747
3,5.05,5.3375,3.6659999999999995
4,4.9,5.47,3.5450000000000004
5,4.9,5.42,3.533
6,4.9,6.01,3.396
7,4.9,5.942,3.3649999999999998
8,4.9,5.3,3.406
9,4.9,4.79,3.501
10,4.9,4.565,3.5189999999999997
11,4.98,4.104,3.721
12,5.0,4.3425,4.169
13,5.0,4.958,4.199
14,5.0,5.995,4.199
15,5.0,6.96,4.082
16,4.85,6.62,3.8890000000000002
17,4.85,6.1525,3.761
18,4.85,5.725,3.6950000000000003
19,4.85,4.86,3.6109999999999998
20,4.85,4.4675,3.601
21,4.85,4.248,3.6020000000000003
22,4.85,4.0225,3.5200000000000005
23,4.81,4.27,3.4850000000000003
24,4.7,4.39,3.957
25,4.7,4.346,3.7649999999999997
26,4.58,4.2025,3.404
27,4.45,3.97,3.1149999999999998
28,4.45,3.4575,2.964
29,4.45,3.1675,2.754
30,4.45,2.9219999999999997,2.564
31,4.45,2.4825,2.58
32,4.45,2.3775,2.798
33,4.45,2.36,2.898
34,4.45,2.5675,3.17
35,4.6,2.715,3.181
36,4.6,2.8560000000000003,3.255
37,4.6,2.975,3.4299999999999997
38,4.4,2.985,3.3600000000000003
39,4.4,2.752,3.312
40,4.4,2.66,3.307
41,4.42,2.838,3.2409999999999997
42,4.5,2.97,3.1
43,4.5,2.9275,3.2590000000000003
44,4.5,3.088,3.3899999999999997
45,4.5,3.35,3.4490000000000003
46,4.65,3.27,3.425
47,4.65,2.84,3.306
48,4.7,2.835,3.345
49,4.85,2.98,3.9619999999999997
50,4.87,2.958,4.211
51,4.95,2.895,4.3100000000000005
52,4.95,3.255,4.484
53,4.95,3.48,4.214
54,4.95,3.46,4.233
55,4.95,3.3975,4.059
56,5.15,3.5,4.159000000000001
57,5.15,3.53,4.282
58,5.15,3.5525,4.561999999999999
59,5.15,3.9219999999999997,4.561999999999999
60,5.05,4.11,4.654999999999999
61,5.05,4.105,4.904999999999999
62,5.05,4.192,4.7299999999999995
63,5.05,4.205,4.665
64,4.95,4.19,4.515
65,4.95,4.18,4.2700000000000005
66,4.95,4.085,4.04
67,4.95,4.024,3.9850000000000003
68,4.75,3.8475,3.7350000000000003
69,4.75,3.36,3.4850000000000003
70,4.75,3.3,3.7649999999999997
71,4.75,3.3080000000000003,3.835
72,4.75,3.445,3.8659999999999997
73,4.75,3.345,3.931
74,4.75,3.2239999999999998,3.7060000000000004
75,4.7,3.185,3.643
76,4.6,2.824,3.6439999999999997
77,4.6,2.7,3.396
78,4.6,2.595,3.164
79,4.65,2.418,3.232
80,4.7,2.67,3.3310000000000004
81,4.7,3.015,3.38
82,4.7,3.28,3.757
83,4.6,3.475,3.8310000000000004
84,4.6,3.48,3.844
85,4.6,3.645,4.078
86,4.6,3.96,4.05
87,4.6,4.02,3.975
88,4.5,4.015,4.0840000000000005
89,4.5,4.195,3.9090000000000003
90,4.5,4.18,3.6700000000000004
91,4.45,3.965,3.66
92,4.4,4.045,3.4520000000000004
93,4.25,4.14,3.4530000000000003
94,4.2,3.94,3.657
95,4.2,3.695,3.656
96,4.1,3.6,3.7600000000000002
97,4.05,3.68,4.032
98,4.0,3.77,3.933
99,3.95,3.77,3.851
100,3.8,3.76,3.853
101,3.8,3.78,3.4880000000000004
102,3.75,3.735,3.3049999999999997
103,3.7,3.615,3.027
104,3.7,3.07,2.804
105,3.7,2.845,2.682
106,3.7,2.89,2.96
107,3.7,3.05,3.105
108,3.7,3.335,3.374
109,3.7,3.38,3.34
110,3.7,3.095,3.009
111,3.7,2.51,2.802
112,3.7,2.345,2.699
113,3.7,2.28,2.318
114,3.7,2.22,2.158
115,3.9,2.185,2.262
116,3.9,2.17,2.261
117,3.9,2.14,2.262
118,3.95,2.105,2.7359999999999998
119,4.05,2.065,2.867
120,4.15,2.11,3.307
121,4.3,2.14,3.6369999999999996
122,4.35,2.29,3.7380000000000004
123,4.4,2.55,3.7920000000000003
124,4.45,2.8,3.8549999999999995
125,4.45,2.88,3.346
126,4.5,2.75,3.3009999999999997
127,4.65,2.65,3.479
128,4.65,2.725,3.5780000000000003
129,4.65,2.845,3.6990000000000003
130,4.65,2.9,3.9579999999999997
131,4.65,2.84,3.979
132,4.9,3.27,4.379
133,4.65,3.99,4.6530000000000005
134,4.65,4.33,4.551
135,4.45,4.365,4.254
136,3.95,4.2,3.8549999999999995
137,3.95,3.74,3.109
138,3.95,3.12,2.859
139,3.9,2.895,2.758
140,3.85,2.765,2.758
141,3.85,2.64,2.722
142,3.85,2.565,2.888
143,3.85,2.56,2.8600000000000003
144,4.0,2.56,2.931
145,4.05,2.555,3.207
146,4.05,2.51,3.207
147,4.0,2.48,3.218
148,3.95,2.48,3.218
149,3.95,2.48,2.722
150,3.95,2.49,2.701
151,3.95,2.52,2.7079999999999997
152,3.75,2.56,2.7079999999999997
153,3.75,2.56,2.744
154,3.75,2.565,2.911
155,3.75,2.6,2.911
156,3.9,2.625,3.102
157,3.95,2.66,3.2969999999999997
158,3.95,2.71,3.2969999999999997
159,3.85,2.72,3.2969999999999997
160,3.8,2.765,3.2979999999999996
161,3.75,2.845,2.81
162,3.85,2.85,2.787
163,3.85,2.85,2.787
164,3.8,2.85,2.787
165,3.75,2.85,2.784
166,3.75,2.885,2.932
167,3.75,2.93,2.978
168,3.75,2.955,3.176
169,3.75,3.005,3.3950000000000005
170,3.75,3.02,3.3649999999999998
171,3.7,3.02,3.336
172,3.6,3.02,3.322
173,3.6,3.02,2.824
174,3.7,3.02,2.777
175,3.7,3.005,2.777
176,3.7,3.0,2.777
177,3.7,3.0,2.819
