time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
0,,,
1,5.05,4.145,3.6659999999999995
2,5.05,4.2575,3.6799999999999997
3,5.05,4.55,3.747
4,5.05,5.3375,3.6659999999999995
5,4.9,5.47,3.5450000000000004
6,4.9,5.42,3.533
7,4.9,6.01,3.396
8,4.9,5.942,3.3649999999999998
9,4.9,5.3,3.406
10,4.9,4.79,3.501
11,4.9,4.565,3.5189999999999997
12,4.98,4.104,3.721
13,,,
14,5.0,4.3425,4.169
15,5.0,4.958,4.199
16,5.0,5.995,4.199
17,5.0,6.96,4.082
18,4.85,6.62,3.8890000000000002
19,4.85,6.1525,3.761
20,4.85,5.725,3.6950000000000003
21,4.85,4.86,3.6109999999999998
22,4.85,4.4675,3.601
23,4.85,4.248,3.6020000000000003
24,4.85,4.0225,3.5200000000000005
25,4.81,4.27,3.4850000000000003
26,,,
27,4.7,4.39,3.957
28,4.7,4.346,3.7649999999999997
29,4.58,4.2025,3.404
30,4.45,3.97,3.1149999999999998
31,4.45,3.4575,2.964
32,4.45,3.1675,2.754
33,4.45,2.9219999999999997,2.564
34,4.45,2.4825,2.58
35,4.45,2.3775,2.798
36,4.45,2.36,2.898
37,4.45,2.5675,3.17
38,4.6,2.715,3.181
39,,,
40,4.6,2.8560000000000003,3.255
41,4.6,2.975,3.4299999999999997
42,4.4,2.985,3.3600000000000003
43,4.4,2.752,3.312
44,4.4,2.66,3.307
45,4.42,2.838,3.2409999999999997
46,4.5,2.97,3.1
47,4.5,2.9275,3.2590000000000003
48,4.5,3.088,3.3899999999999997
49,4.5,3.35,3.4490000000000003
50,4.65,3.27,3.425
51,4.65,2.84,3.306
52,,,
53,4.7,2.835,3.345
54,4.85,2.98,3.9619999999999997
55,4.87,2.958,4.211
56,4.95,2.895,4.3100000000000005
57,4.95,3.255,4.484
58,4.95,3.48,4.214
59,4.95,3.46,4.233
60,4.95,3.3975,4.059
61,5.15,3.5,4.159000000000001
62,5.15,3.53,4.282
63,5.15,3.5525,4.561999999999999
64,5.15,3.9219999999999997,4.561999999999999
65,,,
66,5.05,4.11,4.654999999999999
67,5.05,4.105,4.904999999999999
68,5.05,4.192,4.7299999999999995
69,5.05,4.205,4.665
70,4.95,4.19,4.515
71,4.95,4.18,4.2700000000000005
72,4.95,4.085,4.04
73,4.95,4.024,3.9850000000000003
74,4.75,3.8475,3.7350000000000003
75,4.75,3.36,3.4850000000000003
76,4.75,3.3,3.7649999999999997
77,4.75,3.3080000000000003,3.835
78,,,
79,4.75,3.445,3.8659999999999997
